"DATA","MEDIA","IC025","IC975"
2020-07-31,1.03119471185924,1.00311157126519,1.05966015351278
2020-08-01,1.03095675307761,1.00296637432839,1.05932698309923
2020-08-02,1.03072784953576,1.00282932078269,1.05900380867538
2020-08-03,1.03055974805064,1.00275142682516,1.05874310826446
2020-08-04,1.03037555441995,1.00265676476701,1.05846702317652
2020-08-05,1.03017072311986,1.00254090724685,1.05817088791481
2020-08-06,1.02998324938871,1.0024413820611,1.05789316370227
2020-08-07,1.02980517505447,1.00235032189974,1.05762580179613
2020-08-08,1.02962030675083,1.00225175553459,1.05735238637979
2020-08-09,1.02943667485805,1.00215363413861,1.0570810260819
2020-08-10,1.02925984885102,1.00206146441905,1.0568173526642
