"DATA","variable","value"
2020-07-01,"IC975",1.03660107977914
2020-07-02,"IC975",1.2236707624039
2020-07-03,"IC975",1.34199834388205
2020-07-04,"IC975",1.2328219782738
2020-07-05,"IC975",1.20202010560752
2020-07-06,"IC975",1.55145761572039
2020-07-07,"IC975",1.42215525660508
2020-07-08,"IC975",0.94079751929411
2020-07-09,"IC975",1.13149808305718
2020-07-10,"IC975",1.23008703600443
2020-07-11,"IC975",1.05222923069892
2020-07-12,"IC975",1.03609754523489
2020-07-13,"IC975",1.1009610111385
2020-07-14,"IC975",1.08337404036397
2020-07-15,"IC975",1.04979818866652
2020-07-16,"IC975",1.06373971302987
2020-07-17,"IC975",1.07350774099553
2020-07-18,"IC975",1.06279435616289
2020-07-19,"IC975",1.05979178067895
2020-07-20,"IC975",1.06485846070545
2020-07-21,"IC975",1.06420958848154
2020-07-22,"IC975",1.06129527335308
2020-07-23,"IC975",1.06175694282716
2020-07-24,"IC975",1.06243866515798
2020-07-25,"IC975",1.06146142999373
2020-07-26,"IC975",1.06083034774045
2020-07-27,"IC975",1.06091201655094
2020-07-28,"IC975",1.06064743450009
2020-07-29,"IC975",1.06014026706295
2020-07-30,"IC975",1.05987015803897
2020-07-31,"IC975",1.05966015351278
2020-08-01,"IC975",1.05932698309923
2020-08-02,"IC975",1.05900380867538
2020-08-03,"IC975",1.05874310826446
2020-08-04,"IC975",1.05846702317652
2020-08-05,"IC975",1.05817088791481
2020-08-06,"IC975",1.05789316370227
2020-08-07,"IC975",1.05762580179613
2020-08-08,"IC975",1.05735238637979
2020-08-09,"IC975",1.0570810260819
2020-08-10,"IC975",1.0568173526642
