"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-03-14,7164001,71,143,573,0,0,7164001,71,143,573,0,0,7164001,71,143,573,0,0
2020-03-15,7163838,75,190,685,0,1,7163838,75,190,685,0,1,7163838,75,190,685,0,1
2020-03-16,7163867,79,162,680,0,2,7163867,79,162,680,0,2,7163867,79,162,680,0,2
2020-03-17,7163918,87,78,705,0,2,7163918,87,78,705,0,2,7163918,87,78,705,0,2
2020-03-18,7163818,106,116,748,0,4,7163818,106,116,748,0,4,7163818,106,116,748,0,4
2020-03-19,7163748,142,130,768,0,7,7163748,142,130,768,0,7,7163748,142,130,768,0,7
2020-03-20,7163730,164,115,779,0,9,7163730,164,115,779,0,9,7163730,164,115,779,0,9
2020-03-21,7163699,190,130,769,0,8,7163699,190,130,769,0,8,7163699,190,130,769,0,8
2020-03-22,7163700,231,122,735,0,9,7163700,231,122,735,0,9,7163700,231,122,735,0,9
2020-03-23,7163708,274,97,709,0,9,7163708,274,97,709,0,9,7163708,274,97,709,0,9
2020-03-24,7163682,360,86,660,0,11,7163682,360,86,660,0,11,7163682,360,86,660,0,11
2020-03-25,7163572,439,105,671,1,15,7163572,439,105,671,1,15,7163572,439,105,671,1,15
2020-03-26,7163603,516,99,569,1,17,7163603,516,99,569,1,17,7163603,516,99,569,1,17
2020-03-27,7163418,600,130,639,1,20,7163418,600,130,639,1,20,7163418,600,130,639,1,20
2020-03-28,7163331,659,153,644,1,22,7163331,659,153,644,1,22,7163331,659,153,644,1,22
2020-03-29,7163280,790,97,620,1,28,7163280,790,97,620,1,28,7163280,790,97,620,1,28
2020-03-30,7163294,819,79,593,3,37,7163294,819,79,593,3,37,7163294,819,79,593,3,37
2020-03-31,7163274,865,70,575,4,42,7163274,865,70,575,4,42,7163274,865,70,575,4,42
2020-04-01,7163237,933,75,538,5,45,7163237,933,75,538,5,45,7163237,933,75,538,5,45
2020-04-02,7163172,992,82,535,7,45,7163172,992,82,535,7,45,7163172,992,82,535,7,45
2020-04-03,7163096,1045,99,540,8,48,7163096,1045,99,540,8,48,7163096,1045,99,540,8,48
2020-04-04,7163016,1116,97,546,13,54,7163016,1116,97,546,13,54,7163016,1116,97,546,13,54
2020-04-05,7162908,1161,135,570,14,59,7162908,1161,135,570,14,59,7162908,1161,135,570,14,59
2020-04-06,7162835,1211,140,587,15,62,7162835,1211,140,587,15,62,7162835,1211,140,587,15,62
2020-04-07,7162927,1244,80,520,17,63,7162927,1244,80,520,17,63,7162927,1244,80,520,17,63
2020-04-08,7162807,1312,108,542,19,63,7162807,1312,108,542,19,63,7162807,1312,108,542,19,63
2020-04-09,7162727,1340,139,562,20,62,7162727,1340,139,562,20,62,7162727,1340,139,562,20,62
2020-04-10,7162540,1440,162,625,21,59,7162540,1440,162,625,21,59,7162540,1440,162,625,21,59
2020-04-11,7162475,1487,154,646,26,59,7162475,1487,154,646,26,59,7162475,1487,154,646,26,59
2020-04-12,7162380,1531,150,700,27,55,7162380,1531,150,700,27,55,7162380,1531,150,700,27,55
2020-04-13,7162280,1565,176,740,27,59,7162280,1565,176,740,27,59,7162280,1565,176,740,27,59
2020-04-14,7162269,1597,145,746,31,61,7162269,1597,145,746,31,61,7162269,1597,145,746,31,61
2020-04-15,7161976,1636,251,894,31,62,7161976,1636,251,894,31,62,7161976,1636,251,894,31,62
2020-04-16,7161855,1678,306,917,32,60,7161855,1678,306,917,32,60,7161855,1678,306,917,32,60
2020-04-17,7161786,1732,241,995,34,63,7161786,1732,241,995,34,63,7161786,1732,241,995,34,63
2020-04-18,7161638,1771,253,1090,36,61,7161638,1771,253,1090,36,61,7161638,1771,253,1090,36,61
2020-04-19,7161468,1865,266,1153,36,62,7161468,1865,266,1153,36,62,7161468,1865,266,1153,36,62
2020-04-20,7161342,1911,274,1225,36,63,7161342,1911,274,1225,36,63,7161342,1911,274,1225,36,63
2020-04-21,7161320,1940,248,1239,41,62,7161320,1940,248,1239,41,62,7161320,1940,248,1239,41,62
2020-04-22,7161110,2012,276,1347,43,64,7161110,2012,276,1347,43,64,7161110,2012,276,1347,43,64
2020-04-23,7160821,2075,379,1468,45,64,7160821,2075,379,1468,45,64,7160821,2075,379,1468,45,64
2020-04-24,7160742,2171,329,1500,46,66,7160742,2171,329,1500,46,66,7160742,2171,329,1500,46,66
2020-04-25,7160635,2228,278,1601,46,68,7160635,2228,278,1601,46,68,7160635,2228,278,1601,46,68
2020-04-26,7160360,2321,406,1655,46,70,7160360,2321,406,1655,46,70,7160360,2321,406,1655,46,70
