"DATA","variable","value"
2020-07-07,"IC975",1.42215525660512
2020-07-08,"IC975",0.940797519294124
2020-07-09,"IC975",1.13149808305719
2020-07-10,"IC975",1.23008703600443
2020-07-11,"IC975",1.18636107699097
2020-07-12,"IC975",1.18752758881647
2020-07-13,"IC975",1.11018720142221
2020-07-14,"IC975",1.08419459629087
2020-07-15,"IC975",1.0682206840204
2020-07-16,"IC975",1.0614256413246
2020-07-17,"IC975",1.0594697242595
2020-07-18,"IC975",1.05948852011909
2020-07-19,"IC975",1.06006016088874
2020-07-20,"IC975",1.06060448002344
2020-07-21,"IC975",1.06094811110773
2020-07-22,"IC975",1.06108412800767
2020-07-23,"IC975",1.06105775460728
2020-07-24,"IC975",1.06091951589029
2020-07-25,"IC975",1.06071005562965
2020-07-26,"IC975",1.06045794307877
2020-07-27,"IC975",1.06018179483752
2020-07-28,"IC975",1.05989315488522
2020-07-29,"IC975",1.05959892843298
2020-07-30,"IC975",1.05930312937537
2020-07-31,"IC975",1.05900803250796
2020-08-01,"IC975",1.05871489397531
2020-08-02,"IC975",1.058424385553
2020-08-03,"IC975",1.05813684947274
2020-08-04,"IC975",1.05785244487475
2020-08-05,"IC975",1.05757123059289
2020-08-06,"IC975",1.05729321131682
2020-08-07,"IC975",1.05701836303746
2020-08-08,"IC975",1.05674664693199
2020-08-09,"IC975",1.05647801687075
2020-08-10,"IC975",1.05621242343913
